_id                                | _creationTime      | attemptId                              | byteFingerprint            | contentType       | createdAt     | effectiveConnectionType | errorMessage                                       | errorName             | exifStatus   | extension | fileNamePattern | httpStatus | lastModifiedAgeMs | online | phase              | platform       | projectId                          | size     | stage              | userAgent                                                                                                                                           | userId                            
-----------------------------------|--------------------|----------------------------------------|----------------------------|-------------------|---------------|------|----------------------------------------------------|-----------------------|--------------|--------|----------------|-----|-------------|------|--------------------|----------------|------------------------------------|----------|--------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------
"m5766cyy5kvttg5jm4bbk6kz2x8chqbn" | 1786776661681.8455 | "fa118ee4-6af9-49ac-a9a0-d8964e4c886d" | "e42c46015699c0fb290e45ff" | "image/jpeg"      | 1786776661681 | "4g" |                                                    |                       | "found"      | "jpg"  | "numeric"      | 200 | 578         | true | "completed"        | "Linux armv81" | "kh74wps1s6akgbh4z09tcvk8ph8bxs9v" | 3935051  | "backend-complete" | "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36 OPR/100.0.0.0"                     | "kx71xsh84gdr8y6f0zyhw2ax0d8bxf40"
"m5783bf2t6yfjbdqakyab2nmkx8cgmw9" | 1786776661526.5964 | "fa118ee4-6af9-49ac-a9a0-d8964e4c886d" | "e42c46015699c0fb290e45ff" | "image/jpeg"      | 1786776661526 | "4g" |                                                    |                       | "found"      | "jpg"  | "numeric"      | 200 | 578         | true | "storage-uploaded" | "Linux armv81" | "kh74wps1s6akgbh4z09tcvk8ph8bxs9v" | 3935051  | "storage-upload"   | "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36 OPR/100.0.0.0"                     | "kx71xsh84gdr8y6f0zyhw2ax0d8bxf40"
"m5757ym8j1c8ex1sd03erafc9n8chd2a" | 1786776660785.3152 | "fa118ee4-6af9-49ac-a9a0-d8964e4c886d" | "e42c46015699c0fb290e45ff" | "image/jpeg"      | 1786776660785 |      |                                                    |                       | "found"      |        |                |     |             |      | "storage-uploaded" |                | "kh74wps1s6akgbh4z09tcvk8ph8bxs9v" | 3935051  | "backend-received" |                                                                                                                                                     | "kx71xsh84gdr8y6f0zyhw2ax0d8bxf40"
"m579xjt65b4zv1q9gehmantge58ch66c" | 1786776658316.6604 | "fa118ee4-6af9-49ac-a9a0-d8964e4c886d" | "e42c46015699c0fb290e45ff" | "image/jpeg"      | 1786776658316 | "4g" |                                                    |                       | "found"      | "jpg"  | "numeric"      |     | 578         | true | "selected"         | "Linux armv81" | "kh74wps1s6akgbh4z09tcvk8ph8bxs9v" | 3935051  | "selection"        | "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36 OPR/100.0.0.0"                     | "kx71xsh84gdr8y6f0zyhw2ax0d8bxf40"
"m57ezz2st9qb4hv7hch7nkavb18ch4qe" | 1786776606488.4495 | "ea41245f-1fda-42b8-81b8-dafdc331ca6c" | "d53e29dbf49fb43cf02c32e7" | "image/jpeg"      | 1786776606488 | "4g" |                                                    |                       | "missing"    | "jpg"  | "other"        | 200 | 6454175     | true | "completed"        | "Linux armv81" | "kh74wps1s6akgbh4z09tcvk8ph8bxs9v" | 4375268  | "backend-complete" | "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36 OPR/100.0.0.0"                     | "kx71xsh84gdr8y6f0zyhw2ax0d8bxf40"
"m5761jkq1ejyrmbvw3hqnbnybn8cg5nj" | 1786776606311.528  | "ea41245f-1fda-42b8-81b8-dafdc331ca6c" | "d53e29dbf49fb43cf02c32e7" | "image/jpeg"      | 1786776606311 | "4g" |                                                    |                       | "missing"    | "jpg"  | "other"        | 200 | 6454175     | true | "storage-uploaded" | "Linux armv81" | "kh74wps1s6akgbh4z09tcvk8ph8bxs9v" | 4375268  | "storage-upload"   | "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36 OPR/100.0.0.0"                     | "kx71xsh84gdr8y6f0zyhw2ax0d8bxf40"
"m578rq6c57n257hy7ew7vt4pyh8chbmv" | 1786776605633.5496 | "ea41245f-1fda-42b8-81b8-dafdc331ca6c" | "d53e29dbf49fb43cf02c32e7" | "image/jpeg"      | 1786776605633 |      |                                                    |                       | "missing"    |        |                |     |             |      | "storage-uploaded" |                | "kh74wps1s6akgbh4z09tcvk8ph8bxs9v" | 4375268  | "backend-received" |                                                                                                                                                     | "kx71xsh84gdr8y6f0zyhw2ax0d8bxf40"
"m57df9dfvbt0rsxaq3d1c22c258cgak0" | 1786776603430.972  | "ea41245f-1fda-42b8-81b8-dafdc331ca6c" | "d53e29dbf49fb43cf02c32e7" | "image/jpeg"      | 1786776603431 | "4g" |                                                    |                       | "missing"    | "jpg"  | "other"        |     | 6454175     | true | "selected"         | "Linux armv81" | "kh74wps1s6akgbh4z09tcvk8ph8bxs9v" | 4375268  | "selection"        | "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36 OPR/100.0.0.0"                     | "kx71xsh84gdr8y6f0zyhw2ax0d8bxf40"
"m579xr0wdejwdwp73nhz9rs4hs8cgece" | 1786775530414.0996 | "fd8d2c16-6696-4fc6-86bf-84d583830658" | "f13c34149612553711cc8bd5" | "image/jpeg"      | 1786775530414 |      |                                                    |                       | "found"      | "jpeg" | "img-prefixed" | 200 | 5409343117  | true | "completed"        | "iPhone"       | "kh74wps1s6akgbh4z09tcvk8ph8bxs9v" | 3012851  | "backend-complete" | "Mozilla/5.0 (iPhone; CPU iPhone OS 26_6_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/151.0.7922.112 Mobile/15E148 Safari/604.1" | "kx71xsh84gdr8y6f0zyhw2ax0d8bxf40"
